Win/Loss,Warriors FG%,Warriors 3P%,Warriors FT Made,Warriors TRB,Warriors AST,Warriors STL,Warriors BLK,Warriors TOV,Warriors PF,Opp FG%,Opp 3P%,Opp FT Made,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF
0,.538,.533,19,41,34,5,9,17,25,.485,.366,13,43,28,9,5,12,16
1,.511,.439,16,49,29,6,8,18,23,.459,.444,14,51,26,8,4,17,19
0,.393,.316,23,46,20,10,7,17,28,.468,.370,29,40,20,8,4,14,25
1,.558,.385,22,50,33,6,8,16,23,.396,.310,18,42,21,11,0,12,20
1,.558,.462,19,37,32,10,7,17,15,.457,.235,18,42,30,10,6,16,16
1,.484,.263,18,53,33,7,13,17,20,.443,.455,16,41,30,7,6,14,21
0,.571,.370,9,40,29,3,11,25,14,.462,.444,17,37,22,16,0,13,9
1,.584,.483,23,46,37,8,8,12,23,.453,.400,25,35,21,4,3,12,20
1,.518,.500,12,41,30,11,12,14,20,.391,.292,17,46,19,6,8,16,10
1,.549,.450,9,41,38,13,4,13,23,.460,.250,22,46,26,9,6,17,18
1,.368,.344,22,51,20,12,10,14,21,.361,.308,12,44,19,10,6,20,20
1,.565,.417,14,45,37,10,9,19,23,.413,.208,20,41,21,15,0,13,14
1,.585,.519,25,39,31,15,11,22,23,.468,.429,14,38,30,10,2,19,19
1,.500,.348,14,50,35,4,5,16,21,.420,.313,16,35,26,10,3,11,18
0,.402,.313,12,47,22,9,10,15,24,.329,.219,33,52,15,8,5,15,15
1,.549,.304,17,48,25,5,6,12,18,.485,.345,12,40,28,8,5,11,22
1,.511,.417,16,57,29,8,14,15,27,.358,.333,27,52,24,7,2,13,21
0,.413,.323,15,39,22,11,8,22,20,.456,.320,18,50,16,15,5,16,21
1,.582,.444,21,49,36,11,11,11,15,.354,.361,11,40,18,7,2,15,17
1,.415,.303,22,44,30,11,6,9,24,.405,.355,16,45,24,2,9,17,24
0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
0,FG%,3P%,FT,TRB,AST,STL,BLK,TOV,PF,FG%,3P%,FT,TRB,AST,STL,BLK,TOV,PF
0,.500,.432,10,36,31,9,6,14,15,.532,.529,17,36,27,7,6,13,15
1,.500,.400,21,49,30,10,4,22,19,.495,.375,20,34,30,12,5,17,23
1,.625,.500,11,42,46,9,11,19,16,.458,.393,13,35,23,9,4,14,15
1,.560,.367,18,41,32,4,4,9,14,.407,.378,15,28,17,5,4,11,15
1,.517,.485,19,40,36,14,5,16,17,.495,.410,9,47,33,11,4,21,26
1,.476,.367,10,47,26,8,12,15,20,.351,.316,13,49,17,5,3,12,13
1,.481,.269,17,45,29,5,15,14,19,.413,.444,10,49,20,8,2,11,17
1,.550,.500,13,42,26,5,9,14,16,.420,.250,23,39,14,11,2,9,18
1,.603,.500,7,41,35,7,4,16,22,.451,.345,13,31,25,7,1,11,16
1,.402,.324,19,61,25,6,10,14,26,.446,.400,22,45,23,9,9,12,26
1,.459,.333,22,44,26,9,8,16,19,.333,.387,16,41,20,10,6,16,23
1,.494,.292,22,42,24,9,13,15,17,.426,.379,15,46,22,11,5,15,23
0,.381,.111,14,38,25,14,8,16,14,.463,.250,13,45,25,10,4,18,14
1,.463,.270,13,47,28,7,7,15,18,.318,.417,21,50,12,8,0,14,19
1,.593,.478,13,50,37,8,7,16,18,.402,.261,21,43,21,10,2,13,22
0,.460,.364,12,43,32,6,5,17,25,.461,.300,23,47,27,12,6,10,10
1,.588,.545,23,38,37,3,6,10,17,.521,.714,15,38,29,6,0,7,22
1,.527,.406,16,46,36,8,7,14,21,.478,.442,17,40,29,6,2,12,17
1,.552,.433,15,45,35,6,6,12,18,.472,.340,13,38,20,7,3,10,17
1,.415,.333,30,54,31,13,10,16,25,.429,.273,24,45,19,10,7,18,25
0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
0,FG%,3P%,FT,TRB,AST,STL,BLK,TOV,PF,FG%,3P%,FT,TRB,AST,STL,BLK,TOV,PF
1,.565,.433,15,43,33,7,10,16,15,.495,.421,12,39,30,8,3,11,16
0,.481,.348,22,33,26,9,6,16,21,.489,.458,22,46,24,9,3,14,19
1,.557,.333,15,43,28,7,3,11,13,.424,.393,11,33,21,9,6,12,20
1,.580,.375,24,30,28,4,3,6,20,.484,.320,27,44,22,3,2,10,23
1,.482,.375,24,48,33,8,6,16,23,.457,.250,15,43,26,9,5,15,22
1,.500,.394,22,49,24,5,3,15,16,.425,.256,12,49,24,10,2,11,19
0,.488,.472,11,33,31,8,10,19,24,.471,.378,20,46,19,14,3,15,18
1,.554,.433,18,36,40,6,3,12,16,.518,.409,17,38,28,4,0,13,20
1,.539,.568,9,47,37,9,8,15,17,.455,.300,15,43,25,9,3,10,15
1,.452,.370,23,43,19,9,9,11,17,.435,.500,17,45,17,6,2,14,23
0,.459,.200,16,37,27,10,7,19,16,.582,.500,9,42,25,16,3,11,22
1,.550,.515,14,51,25,8,4,25,19,.442,.400,10,33,22,16,3,10,14
0,.500,.258,14,42,28,9,10,13,23,.429,.414,25,48,28,7,0,15,17
0,.487,.286,23,45,27,7,8,25,24,.473,.387,25,40,17,14,3,12,28
1,.511,.483,17,51,37,6,7,16,18,.435,.243,14,34,19,15,7,10,16
1,.565,.444,14,44,35,5,6,16,18,.457,.185,14,34,30,8,5,10,13
1,.584,.423,14,49,36,8,16,11,18,.347,.130,14,47,13,2,3,15,17
0,.478,.351,18,41,24,8,7,16,24,.484,.364,21,49,20,9,0,13,18
1,.610,.560,26,32,31,8,8,15,24,.500,.344,28,36,32,9,3,14,19
1,.472,.447,11,54,36,8,6,14,21,.330,.265,13,43,19,8,3,15,17
0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
0,FG%,3P%,FT,TRB,AST,STL,BLK,TOV,PF,FG%,3P%,FT,TRB,AST,STL,BLK,TOV,PF
1,.518,.484,22,43,31,8,5,12,13,.490,.400,7,39,28,7,3,14,18
1,.514,.417,25,36,24,10,8,14,21,.400,.344,18,51,25,6,4,16,24
1,.532,.355,19,35,33,12,5,18,20,.442,.429,18,35,21,10,2,19,21
1,.566,.478,9,41,30,8,7,17,18,.424,.265,20,38,24,7,1,12,18
1,.432,.267,20,49,30,6,12,10,18,.453,.273,15,45,29,7,3,12,20
0,.487,.429,20,33,20,5,3,10,20,.494,.410,21,46,21,4,2,11,17
0,.407,.278,19,50,22,6,7,13,17,.463,.300,15,50,27,7,3,9,15
1,.543,.300,23,50,25,8,6,21,24,.452,.316,18,35,24,11,8,14,19
0,.420,.462,13,40,21,10,5,11,21,.434,.452,12,47,25,7,4,13,16
1,.526,.419,11,43,29,8,9,12,21,.476,.458,20,42,22,8,5,19,19
0,.405,.158,12,36,17,7,9,15,24,.402,.348,15,48,21,6,5,14,20
1,.452,.400,10,46,28,8,6,7,17,.440,.344,9,44,24,5,5,11,14
0,.418,.400,9,41,24,9,7,11,19,.483,.429,14,47,27,6,8,14,16
0,.407,.294,6,51,21,4,9,16,17,.481,.286,8,38,22,10,2,10,14
0,.547,.500,15,31,26,10,7,18,19,.552,.550,9,36,30,16,3,15,17
1,.494,.346,21,42,28,9,6,10,18,.414,.286,16,47,27,5,6,15,23
1,.539,.464,8,45,31,10,7,14,14,.456,.355,14,42,26,8,4,15,12
1,.494,.276,21,40,27,9,5,13,25,.376,.237,28,58,13,8,3,16,20
0,.446,.310,23,39,29,6,5,16,14,.538,.517,11,47,32,11,3,12,24
0,.544,.455,7,42,31,3,0,17,21,.563,.407,17,34,39,15,6,8,16
0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
